ID_M,name1,degree
1,عدم التقيد باللباس الرسمي الخاص بالمدرسة أو هيئة للنظام المدرسي,-1
2,العبث أثناء الاصطفاف الصباحي أوضعف المشاركة فيه .,-1
3,عدم إحضار الكتب أو مستلزمات المواد الدراسية .,-1
4,النوم داخل الفصل .,-1
5,تعطيل سير الحصص بالحديث الجانبي,-1
6, تناول الأطعمة أوالمشروبات أثناء الدرس .,-1
7,المقاطة المستمرة غير الهادفة لشرح المعلم بطريقة غير مهذبة اثناء الدرس.,-1
8,التأخر في الدخول إلى الفصل دون إذن مسبق,-1
9,التقصير في أداء الواجبات المدرسية,-1
10,رمي بقايا الطعام والنفايات في أماكن غير مخصصة لها.,-1
11, دخول الطالب فصله أو فصل آخر دون استئذان,-1
12, الغش في أداء الواجبات أو الاختبارات غير الفصلية .,-2
13, إثارة الفوضى داخل الفصل أو داخل المدرسة .,-2
14,امتهان الكتب الدراسية .,-2
15, العبث بممتلكات المدرسة أو الكتابة على جدرانها .,-2
16, الشجار مع الزملاء أو تهديدهم أو التلفظ عليهم بألفاظ غير لائقة .,-2
17, الاشتراك في مضاربة ( عراك ) .,-2
18, الهروب من الدرس أو عدم حضور الحصة الدراسية,-2
19, إحضار أجهزة الاتصال الشخصية أياً كان نوعها الى المدرسة .,-2
20,الخروج من الفصل دون استئذان.,-2
21, العبث بأي من أدوات ومعدات الأمن والسلامة المدرسية .,-2
22,التهاون في أداء الصلاة داخل المدرسة أو العبث خلالها .,-3
23, التلفظ بكلمات نابية تجاه أحد المعلمين أو الإداريين  أو من في حكمهم من منسوبي المدرسة .,-3
24, الاستهانة بمعلمي المدرسة أو إدارييها  أو من في حكمهم بتصرفات غير لائقة .,-3
25,الاشارة بحركات مخلة بالآداب تجاه الزملاء,-3
26, تعمد إتلاف أو تخريب شيء من تجهيزات المدرسة أو مبانيها مثل أجهزة الحاسب والمعامل .,-3
27,إحضار المواد أو الألعاب الخطرة مثل الألعاب النارية  إلى المدرسة دون استخدامها .,-3
28, حيازة أو عرض المواد الإعلامية الممنوعة .,-3
29, سرقة شيء من ممتلكات الزملاء أو المدرسة .,-3
30, إلحاق الضرر المتعمد بممتلكات زملائه .,-3
31, مهاجمة أحد الزملاء بالضرب .,-3
32, حيازة السجائر .,-3
33, التوقيع عن ولي الأمر من غير علمه على المكاتبات المتبادلة بين المدرسة وولي الأمر  .,-3
34, إثارة الرعب بين الطلاب وتخويفهم .,-3
35, الإصرار على ترك الصلاة مع الطلاب والمعلمين دون عذر شرعي .,-10
36, تهديد معلمي المدرسة أو ادارييها أو من في حكمهم  أو إلحاق الضرر بممتلكاتهم أو سرقتهم .,-10
37,الاشارة بحركات مخلة بالآداب تجاه المعلمين أوالإداريين أو من في حكمهم من منسوبي المدرسة .,-10
38,  العبث بالمواد أو الألعاب الخطرة داخل المدرسة .,-10
39, توزيع المواد الإعلامية الممنوعة .,-10
40,تعمد اصابة أحد الطلاب عن طريق الضرب باليد أو استخدام أدوات غير حادة .,-10
41,التوقيع عن أحد مسؤولي المدرسة على المكاتبات المتبادلة بين المدرسة وولي الأمر .,-10
42, التدخين داخل المدرسة,-10
43, تصوير المعلمين أو الطلاب أو الرسم المسيء لهم,-10
44,الهروب من المدرسة,-10
45,حيازة الاسلحة النارية أومافي حكمها كالسكاكين .,-10
46, تزوير الوثائق الرسمية أو الأختام,-10
47,السلوك الخاطئ والغريب (الايمو ) .,-10
48, احضار شخص آخر لتأدية الاختبار,-10
49, التنمر .,-10
50, العبث بالكهرباء .,-10
51, الاعتداء بالضرب على أحد منسوبي المدرسة من إداريين أو معلمين أو من في حكمهم .,-15
52,التهديد أو استخدام الأسلحة النارية أو ما في حكمها أو الطعن بألة حادة .,-15
53, الاستخدام والاستفادة من الوثائق أو الاختام الرسمية المزورة .,-15
54,التحرشات الجنسية .,-15
55, إشعال النار داخل المدرسة .,-15
56,الاستهزاء بشيء من شعائر الاسلام,
57,اعتناق الأفكار والمعتقدات الهدامة أو نشرها .,
58,حيازة المخدرات أو تعاطيها أو ترويجها .,
59,جميع الممارسات الجنسية  المحرمة,
60,القيادة إلى أفعال الرذيلة .,
61,الخروج من المدرسة للذهاب مع الجنس الآخر .,
68,إذا انضبظ سلوك الطالب المخالف سلوكياً مدة اسبوع كامل ولم يرتكب خلاله مخالفة سلوكية .,2
69,انتظام الطالب المخالف في التبكير لأداء الصلاة في الصف الأول في المدرسة لمدة أسبوع.,2
70,إذا أحضر الطالب المخالف سلوكيا مشهداً معتمداً يفيد بحصولة على دورة تدريبية في مجال المهارات الحياتية بما لايقل عن خمس ساعات تدريبية .,2
71,مشاركة الطالب المخالف في ثلاثة انشطة مدرسية بصورة إيجايبية .,3
72,إذا أحضر الطالب المخالف سلوكياً مشهدين من اثنين من المعلمين بعد اعتمادهما من مدير المدرسة يفيدان بتحسن سلوكه.,3
73,إذا تحسن سلوك الطالب المخالف خلال أسبوع بعد إحضاره تقرير من وحدة الخدمات الإرشادية أو من جهه حكومية ذات اختصاص أو لها علاقة بتعديل السلوك .,3
