id,ST_NUM,date1,Id_M,value1
1,1163294430,7/4/2025 00:00:00,13,-2
2,1149086827,7/4/2025 00:00:00,8,-1
3,1152782312,7/4/2025 00:00:00,8,-1
4,1150953592,7/4/2025 00:00:00,8,-1
5,1150758926,7/4/2025 00:00:00,8,-1
6,1151403720,7/4/2025 00:00:00,8,-1
7,1151940606,7/4/2025 00:00:00,8,-1
8,1152246904,7/4/2025 00:00:00,8,-1
9,1161918113,7/4/2025 00:00:00,13,-2
10,1159625274,7/4/2025 00:00:00,13,-2
11,1159318326,7/4/2025 00:00:00,13,-2
12,1162706368,7/4/2025 00:00:00,13,-2
13,1161452485,7/4/2025 00:00:00,13,-2
14,1161452485,7/4/2025 00:00:00,13,-2
15,1157678820,7/4/2025 00:00:00,13,-2
16,1152688501,7/4/2025 00:00:00,4,-1
17,1152246904,7/4/2025 00:00:00,4,-1
18,1154327678,7/4/2025 00:00:00,4,-1
19,1151403720,7/4/2025 00:00:00,4,-1
20,1159625274,7/4/2025 00:00:00,16,-2
21,1159208121,7/4/2025 00:00:00,16,-2
22,1163294430,7/4/2025 00:00:00,13,-2
23,1162600850,7/4/2025 00:00:00,13,-2
24,1160782288,7/4/2025 00:00:00,13,-2
25,1162254278,7/4/2025 00:00:00,13,-2
26,1160959076,7/4/2025 00:00:00,13,-2
27,1162565111,7/4/2025 00:00:00,13,-2
28,1155114778,7/4/2025 00:00:00,13,-2
29,1152834535,7/4/2025 00:00:00,4,-1
30,1158821031,7/4/2025 00:00:00,13,-2
31,1162565111,7/4/2025 00:00:00,13,-2
32,1157990712,7/4/2025 00:00:00,13,-2
33,1162279986,7/4/2025 00:00:00,13,-2
34,1159085933,7/4/2025 00:00:00,13,-2
35,1150953592,7/4/2025 00:00:00,13,-2
36,1159492444,8/4/2025 00:00:00,13,-2
37,1162565111,8/4/2025 00:00:00,8,-1
38,1159968500,8/4/2025 00:00:00,8,-1
39,1157990712,8/4/2025 00:00:00,8,-1
40,1154938185,8/4/2025 00:00:00,13,-2
42,1148534116,8/4/2025 00:00:00,5,-1
43,1151663216,8/4/2025 00:00:00,20,-2
47,1152127039,8/4/2025 00:00:00,18,-2
48,1152037857,8/4/2025 00:00:00,18,-2
49,1151766068,8/4/2025 00:00:00,8,-1
50,1156164079,8/4/2025 00:00:00,13,-2
52,1151663216,8/4/2025 00:00:00,13,-2
53,1160322374,8/4/2025 00:00:00,13,-2
54,1162565111,9/4/2025 00:00:00,16,-2
56,1152445159,9/4/2025 00:00:00,49,-10
58,1151108113,9/4/2025 00:00:00,13,-2
59,1152436463,9/4/2025 00:00:00,13,-2
60,1153191513,9/4/2025 00:00:00,13,-2
61,1154938185,9/4/2025 00:00:00,13,-2
62,1163065137,9/4/2025 00:00:00,13,-2
63,1152445159,9/4/2025 00:00:00,5,-1
64,1160692404,9/4/2025 00:00:00,7,-1
65,1161813215,9/4/2025 00:00:00,3,-1
66,1158223147,9/4/2025 00:00:00,13,-2
67,1156863597,9/4/2025 00:00:00,13,-2
68,1154158719,9/4/2025 00:00:00,13,-2
69,1148534116,9/4/2025 00:00:00,4,-1
70,1161557069,9/4/2025 00:00:00,13,-2
71,1161156078,9/4/2025 00:00:00,3,-1
72,1162516106,9/4/2025 00:00:00,5,-1
73,1152319842,9/4/2025 00:00:00,5,-1
74,1158136125,9/4/2025 00:00:00,5,-1
75,1150493755,9/4/2025 00:00:00,24,-3
76,1161918113,9/4/2025 00:00:00,16,-2
77,1162254278,9/4/2025 00:00:00,16,-2
78,1155312075,10/4/2025 00:00:00,18,-2
79,1157950567,10/4/2025 00:00:00,18,-2
80,1163065137,10/4/2025 00:00:00,13,-2
81,1153838477,10/4/2025 00:00:00,13,-2
82,1148771452,10/4/2025 00:00:00,13,-2
83,1160723621,10/4/2025 00:00:00,3,-1
85,1152445159,10/4/2025 00:00:00,24,-3
87,1155333147,10/4/2025 00:00:00,13,-2
88,1162875783,10/4/2025 00:00:00,20,-2
89,1157658095,10/4/2025 00:00:00,13,-2
90,1157658095,10/4/2025 00:00:00,13,-2
91,1157658095,10/4/2025 00:00:00,13,-2
92,1157658095,10/4/2025 00:00:00,13,-2
93,1157658095,10/4/2025 00:00:00,13,-2
94,1160895387,10/4/2025 00:00:00,13,-2
95,1162772857,10/4/2025 00:00:00,13,-2
96,1159843455,10/4/2025 00:00:00,13,-2
98,1163294430,10/4/2025 00:00:00,24,-3
99,1152445159,10/4/2025 00:00:00,13,-2
100,1148771452,10/4/2025 00:00:00,13,-2
101,1162279986,10/4/2025 00:00:00,13,-2
102,1148771452,10/4/2025 00:00:00,24,-3
103,1162875783,10/4/2025 00:00:00,13,-2
104,1162100851,10/4/2025 00:00:00,7,-1
105,1152445159,13/4/2025 00:00:00,13,-2
106,1163065137,13/4/2025 00:00:00,13,-2
107,1156863597,13/4/2025 00:00:00,16,-2
108,1163294406,13/4/2025 00:00:00,16,-2
109,1162333510,13/4/2025 00:00:00,16,-2
110,1163056672,13/4/2025 00:00:00,16,-2
111,1153090897,13/4/2025 00:00:00,13,-2
112,1152127039,13/4/2025 00:00:00,16,-2
113,1154246324,13/4/2025 00:00:00,5,-1
114,1152037857,13/4/2025 00:00:00,5,-1
116,1152520381,13/4/2025 00:00:00,9,-1
117,1151663216,13/4/2025 00:00:00,20,-2
118,1159625274,13/4/2025 00:00:00,13,-2
119,1162516106,13/4/2025 00:00:00,13,-2
120,1162565111,13/4/2025 00:00:00,13,-2
121,1162565111,13/4/2025 00:00:00,5,-1
122,1152834535,13/4/2025 00:00:00,5,-1
123,1153324619,13/4/2025 00:00:00,5,-1
124,1162254278,13/4/2025 00:00:00,9,-1
125,1163056672,13/4/2025 00:00:00,20,-2
126,1160723621,13/4/2025 00:00:00,13,-2
127,1162798746,13/4/2025 00:00:00,13,-2
128,1162100851,13/4/2025 00:00:00,13,-2
129,1156164079,13/4/2025 00:00:00,13,-2
131,1156653600,13/4/2025 00:00:00,3,-1
134,1151108113,13/4/2025 00:00:00,5,-1
135,1153090897,13/4/2025 00:00:00,24,-3
136,1163056672,13/4/2025 00:00:00,13,-2
137,1152127039,13/4/2025 00:00:00,5,-1
138,1161452485,13/4/2025 00:00:00,49,-10
139,1162446767,13/4/2025 00:00:00,13,-2
140,1154343089,13/4/2025 00:00:00,3,-1
141,1162100851,14/4/2025 00:00:00,13,-2
142,1161534555,14/4/2025 00:00:00,13,-2
143,1162798746,14/4/2025 00:00:00,13,-2
144,1159845294,14/4/2025 00:00:00,13,-2
145,1158198448,14/4/2025 00:00:00,13,-2
146,1162754848,14/4/2025 00:00:00,13,-2
147,1162538027,14/4/2025 00:00:00,13,-2
148,1162320673,14/4/2025 00:00:00,13,-2
149,1159962586,14/4/2025 00:00:00,13,-2
150,1161813215,14/4/2025 00:00:00,13,-2
151,1162100851,14/4/2025 00:00:00,13,-2
152,1161681182,14/4/2025 00:00:00,13,-2
153,1160055016,14/4/2025 00:00:00,13,-2
154,1160109078,14/4/2025 00:00:00,13,-2
155,1162391096,14/4/2025 00:00:00,13,-2
156,1161957434,14/4/2025 00:00:00,13,-2
157,1154158719,14/4/2025 00:00:00,13,-2
158,1156863597,14/4/2025 00:00:00,13,-2
159,1162516106,14/4/2025 00:00:00,13,-2
160,1157813393,14/4/2025 00:00:00,13,-2
161,1154830861,14/4/2025 00:00:00,15,-2
162,1158136125,14/4/2025 00:00:00,13,-2
163,1154889768,14/4/2025 00:00:00,13,-2
164,1152834535,14/4/2025 00:00:00,13,-2
165,1153324619,14/4/2025 00:00:00,13,-2
166,1151766068,14/4/2025 00:00:00,13,-2
167,1151002407,14/4/2025 00:00:00,13,-2
168,1153638711,14/4/2025 00:00:00,13,-2
169,1152600308,14/4/2025 00:00:00,13,-2
170,1149867275,14/4/2025 00:00:00,13,-2
172,1162391096,14/4/2025 00:00:00,13,-2
173,1162516106,14/4/2025 00:00:00,13,-2
174,1161156078,14/4/2025 00:00:00,13,-2
175,1163056672,14/4/2025 00:00:00,13,-2
176,1152610372,14/4/2025 00:00:00,13,-2
177,1161156078,16/4/2025 00:00:00,13,-2
178,1162279986,16/4/2025 00:00:00,13,-2
179,1162565111,16/4/2025 00:00:00,13,-2
180,1159085933,16/4/2025 00:00:00,13,-2
181,1159397643,16/4/2025 00:00:00,13,-2
182,1159625274,16/4/2025 00:00:00,13,-2
183,1163065137,16/4/2025 00:00:00,13,-2
184,1151619820,16/4/2025 00:00:00,13,-2
186,1163294406,16/4/2025 00:00:00,8,-1
188,1149867275,16/4/2025 00:00:00,8,-1
190,1150084208,16/4/2025 00:00:00,8,-1
191,1150910477,16/4/2025 00:00:00,20,-2
192,1152838056,16/4/2025 00:00:00,20,-2
195,1162279986,16/4/2025 00:00:00,21,-2
196,1159968500,16/4/2025 00:00:00,21,-2
197,1153526726,16/4/2025 00:00:00,4,-1
198,1151940606,16/4/2025 00:00:00,20,-2
199,1148534116,16/4/2025 00:00:00,14,-2
200,1150945218,16/4/2025 00:00:00,4,-1
201,1152090724,16/4/2025 00:00:00,13,-2
202,1163294406,16/4/2025 00:00:00,13,-2
203,1152248843,16/4/2025 00:00:00,13,-2
204,1153020662,16/4/2025 00:00:00,13,-2
205,1162391096,16/4/2025 00:00:00,18,-2
206,1163065137,16/4/2025 00:00:00,13,-2
207,1152090575,16/4/2025 00:00:00,13,-2
208,1152436463,16/4/2025 00:00:00,13,-2
209,1150237400,16/4/2025 00:00:00,13,-2
210,1153882194,16/4/2025 00:00:00,13,-2
211,1151456884,16/4/2025 00:00:00,13,-2
212,1153016363,16/4/2025 00:00:00,13,-2
214,1158336469,17/4/2025 00:00:00,13,-2
215,1162279986,17/4/2025 00:00:00,5,-1
217,1161918113,17/4/2025 00:00:00,20,-2
218,1157813393,17/4/2025 00:00:00,13,-2
219,1154158719,17/4/2025 00:00:00,3,-1
220,1151957394,17/4/2025 00:00:00,13,-2
221,1156897553,17/4/2025 00:00:00,20,-2
222,1161557069,17/4/2025 00:00:00,20,-2
223,1160570485,17/4/2025 00:00:00,20,-2
