serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
1,7/9/2025 00:00:00,,1152319842,2,,,,,
2,7/9/2025 00:00:00,,1152634570,2,,,,,
3,7/9/2025 00:00:00,,1152681217,2,,,,,
4,7/9/2025 00:00:00,,1152747521,2,,,,,
5,7/9/2025 00:00:00,,1152827414,2,,,,,
6,7/9/2025 00:00:00,,1152995906,2,,,,,
7,7/9/2025 00:00:00,,1153274269,2,,,,,
8,7/9/2025 00:00:00,,1153275688,2,,,,,
9,7/9/2025 00:00:00,,1153600513,2,,,,,
10,7/9/2025 00:00:00,,1153634983,2,,,,,
11,7/9/2025 00:00:00,,1153661200,2,,,,,
12,7/9/2025 00:00:00,,1153788722,2,,,,,
13,7/9/2025 00:00:00,,1153853385,2,,,,,
14,7/9/2025 00:00:00,,1153936446,2,,,,,
15,7/9/2025 00:00:00,,1153958283,2,,,,,
16,7/9/2025 00:00:00,,1154003626,2,,,,,
17,7/9/2025 00:00:00,,1154070229,2,,,,,
18,7/9/2025 00:00:00,,1154123150,2,,,,,
19,7/9/2025 00:00:00,,1154158719,2,,,,,
20,7/9/2025 00:00:00,,1154188393,2,,,,,
21,7/9/2025 00:00:00,,1154212250,2,,,,,
22,7/9/2025 00:00:00,,1154270266,2,,,,,
23,7/9/2025 00:00:00,,1154274631,2,,,,,
24,7/9/2025 00:00:00,,1154343089,2,,,,,
25,7/9/2025 00:00:00,,1154346223,2,,,,,
26,7/9/2025 00:00:00,,1154360711,2,,,,,
27,7/9/2025 00:00:00,,1154446759,2,,,,,
28,7/9/2025 00:00:00,,1154526873,2,,,,,
29,7/9/2025 00:00:00,,1154544033,2,,,,,
30,7/9/2025 00:00:00,,1154556516,2,,,,,
31,7/9/2025 00:00:00,,1154557571,2,,,,,
32,7/9/2025 00:00:00,,1154570244,2,,,,,
33,7/9/2025 00:00:00,,1154597619,2,,,,,
34,7/9/2025 00:00:00,,1154634040,2,,,,,
35,7/9/2025 00:00:00,,1154634917,2,,,,,
36,7/9/2025 00:00:00,,1154647711,2,,,,,
37,7/9/2025 00:00:00,,1154679904,2,,,,,
38,7/9/2025 00:00:00,,1154766453,2,,,,,
39,7/9/2025 00:00:00,,1154826661,2,,,,,
40,7/9/2025 00:00:00,,1154827073,2,,,,,
41,7/9/2025 00:00:00,,1154827156,2,,,,,
42,7/9/2025 00:00:00,,1154830861,2,,,,,
43,7/9/2025 00:00:00,,1154869661,2,,,,,
44,7/9/2025 00:00:00,,1154887366,2,,,,,
45,7/9/2025 00:00:00,,1154887382,2,,,,,
46,7/9/2025 00:00:00,,1154908436,2,,,,,
47,7/9/2025 00:00:00,,1154912107,2,,,,,
48,7/9/2025 00:00:00,,1154914053,2,,,,,
49,7/9/2025 00:00:00,,1154919011,2,,,,,
50,7/9/2025 00:00:00,,1154938185,2,,,,,
51,7/9/2025 00:00:00,,1154946444,2,,,,,
52,7/9/2025 00:00:00,,1154952103,2,,,,,
53,7/9/2025 00:00:00,,1155001702,2,,,,,
54,7/9/2025 00:00:00,,1155044280,2,,,,,
55,7/9/2025 00:00:00,,1155109885,2,,,,,
56,7/9/2025 00:00:00,,1155115726,2,,,,,
57,7/9/2025 00:00:00,,1155182163,2,,,,,
58,7/9/2025 00:00:00,,1155186750,2,,,,,
59,7/9/2025 00:00:00,,1155186776,2,,,,,
60,7/9/2025 00:00:00,,1155205873,2,,,,,
61,7/9/2025 00:00:00,,1155210246,2,,,,,
62,7/9/2025 00:00:00,,1155247313,2,,,,,
63,7/9/2025 00:00:00,,1155294018,2,,,,,
64,7/9/2025 00:00:00,,1155312075,2,,,,,
65,7/9/2025 00:00:00,,1155313685,2,,,,,
66,7/9/2025 00:00:00,,1155333147,2,,,,,
67,7/9/2025 00:00:00,,1155363581,2,,,,,
68,7/9/2025 00:00:00,,1155394610,2,,,,,
69,7/9/2025 00:00:00,,1155396995,2,,,,,
70,7/9/2025 00:00:00,,1155433954,2,,,,,
71,7/9/2025 00:00:00,,1155472879,2,,,,,
72,7/9/2025 00:00:00,,1155552456,2,,,,,
73,7/9/2025 00:00:00,,1155564543,2,,,,,
74,7/9/2025 00:00:00,,1155581232,2,,,,,
75,7/9/2025 00:00:00,,1155599408,2,,,,,
76,7/9/2025 00:00:00,,1155645854,2,,,,,
77,7/9/2025 00:00:00,,1155674391,2,,,,,
78,7/9/2025 00:00:00,,1155754656,2,,,,,
79,7/9/2025 00:00:00,,1155760554,2,,,,,
80,7/9/2025 00:00:00,,1155783184,2,,,,,
81,7/9/2025 00:00:00,,1155809963,2,,,,,
82,7/9/2025 00:00:00,,1155818675,2,,,,,
83,7/9/2025 00:00:00,,1155830969,2,,,,,
84,7/9/2025 00:00:00,,1155881384,2,,,,,
85,7/9/2025 00:00:00,30/12/1899 22:36:15,1155937616,3,,,,,
86,7/9/2025 00:00:00,,1155949892,2,,,,,
87,7/9/2025 00:00:00,,1155965054,2,,,,,
88,7/9/2025 00:00:00,,1155998881,2,,,,,
89,7/9/2025 00:00:00,,1156030965,2,,,,,
90,7/9/2025 00:00:00,,1156077727,2,,,,,
91,7/9/2025 00:00:00,,1156115667,2,,,,,
92,7/9/2025 00:00:00,,1156164079,2,,,,,
93,7/9/2025 00:00:00,,1156171355,2,,,,,
94,7/9/2025 00:00:00,,1156183632,2,,,,,
95,7/9/2025 00:00:00,,1156205278,2,,,,,
96,7/9/2025 00:00:00,,1156255281,2,,,,,
97,7/9/2025 00:00:00,,1156270363,2,,,,,
98,7/9/2025 00:00:00,,1156277301,2,,,,,
99,7/9/2025 00:00:00,,1156327700,2,,,,,
100,7/9/2025 00:00:00,,1156352617,2,,,,,
